timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1535747312137,1469,HTTP Request,200,OK,Thread Group 1-48,text,true,,1041408,130,190,190,1468,0,0
1535747312147,1491,HTTP Request,200,OK,Thread Group 1-49,text,true,,1041408,130,193,193,1490,0,0
1535747312160,1513,HTTP Request,200,OK,Thread Group 1-50,text,true,,1041408,130,196,196,1513,0,0
1535747312167,1535,HTTP Request,200,OK,Thread Group 1-51,text,true,,1041408,130,199,199,1533,0,0
1535747312177,1558,HTTP Request,200,OK,Thread Group 1-52,text,true,,1041408,130,203,203,1557,0,1
1535747312187,1578,HTTP Request,200,OK,Thread Group 1-53,text,true,,1041408,130,206,206,1577,0,0
1535747312251,1523,HTTP Request,200,OK,Thread Group 1-12,text,true,,343,133,206,206,1523,0,0
1535747312288,1490,HTTP Request,200,OK,Thread Group 1-13,text,true,,343,133,207,207,1490,0,0
1535747312197,1611,HTTP Request,200,OK,Thread Group 1-54,text,true,,1041820,130,210,210,1610,0,1
1535747312207,1634,HTTP Request,200,OK,Thread Group 1-55,text,true,,1041820,130,213,213,1633,0,1
1535747312219,1654,HTTP Request,200,OK,Thread Group 1-56,text,true,,1041820,130,216,216,1654,0,1
1535747312233,1670,HTTP Request,200,OK,Thread Group 1-57,text,true,,1041820,130,219,219,1670,0,0
1535747312238,1696,HTTP Request,200,OK,Thread Group 1-58,text,true,,1041820,130,222,222,1694,0,0
1535747312248,1732,HTTP Request,200,OK,Thread Group 1-59,text,true,,1041820,130,227,227,1731,0,0
1535747312258,1757,HTTP Request,200,OK,Thread Group 1-60,text,true,,1041820,130,230,230,1756,0,0
1535747312269,1774,HTTP Request,200,OK,Thread Group 1-61,text,true,,1041820,130,233,233,1774,0,0
1535747312279,1799,HTTP Request,200,OK,Thread Group 1-62,text,true,,1041820,130,237,237,1799,0,0
1535747312290,1834,HTTP Request,200,OK,Thread Group 1-63,text,true,,1041820,130,241,241,1833,0,0
1535747312298,1864,HTTP Request,200,OK,Thread Group 1-64,text,true,,1041820,130,244,244,1863,0,1
1535747312308,1890,HTTP Request,200,OK,Thread Group 1-65,text,true,,1041820,130,248,248,1889,0,1
1535747312327,1902,HTTP Request,200,OK,Thread Group 1-66,text,true,,1041820,130,250,250,1901,0,0
1535747312348,1888,HTTP Request,200,OK,Thread Group 1-14,text,true,,343,133,251,251,1888,0,0
1535747312373,1865,HTTP Request,200,OK,Thread Group 1-15,text,true,,343,133,251,251,1865,0,0
1535747312335,1935,HTTP Request,200,OK,Thread Group 1-67,text,true,,1042232,130,254,254,1934,0,0
1535747312348,1958,HTTP Request,200,OK,Thread Group 1-68,text,true,,1042232,130,258,258,1957,0,3
1535747312351,1985,HTTP Request,200,OK,Thread Group 1-69,text,true,,1042232,130,261,261,1984,0,1
1535747312363,2001,HTTP Request,200,OK,Thread Group 1-70,text,true,,1042232,130,263,263,2000,0,1
1535747312377,2025,HTTP Request,200,OK,Thread Group 1-3,text,true,,1042232,130,267,267,2025,0,0
1535747312377,2062,HTTP Request,200,OK,Thread Group 1-71,text,true,,1042232,130,271,271,2061,0,0
1535747312379,2097,HTTP Request,200,OK,Thread Group 1-4,text,true,,1042232,130,274,274,2096,0,0
1535747312380,2129,HTTP Request,200,OK,Thread Group 1-5,text,true,,1042232,130,277,277,2128,0,0
1535747312390,2146,HTTP Request,200,OK,Thread Group 1-72,text,true,,1042232,130,280,280,2145,0,0
1535747312402,2166,HTTP Request,200,OK,Thread Group 1-73,text,true,,1042232,130,283,283,2164,0,0
1535747312411,2161,HTTP Request,200,OK,Thread Group 1-17,text,true,,343,133,283,283,2161,0,0
1535747312447,2127,HTTP Request,200,OK,Thread Group 1-16,text,true,,343,133,283,283,2127,0,0
1535747312417,2189,HTTP Request,200,OK,Thread Group 1-74,text,true,,1042642,130,287,287,2188,0,0
1535747312427,2214,HTTP Request,200,OK,Thread Group 1-75,text,true,,1042642,130,290,290,2213,0,0
1535747312438,2235,HTTP Request,200,OK,Thread Group 1-76,text,true,,1042642,130,293,293,2234,0,0
