Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,5000,1,0,13,0.92,0.000%,497.66099,26568.49,59.29,54668.0
TOTAL,5000,1,0,13,0.92,0.000%,497.66099,26568.49,59.29,54668.0
