Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,5000,1,0,21,1.12,0.000%,496.96849,1725.09,63.09,3554.5
TOTAL,5000,1,0,21,1.12,0.000%,496.96849,1725.09,63.09,3554.5
