Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,10000,683,1,1212,344.46,0.000%,107.56274,27224.44,13.81,259177.4
TOTAL,10000,683,1,1212,344.46,0.000%,107.56274,27224.44,13.81,259177.4
